Rank,Company,City,Country,Funding,Industry,Employees,Revenue,Growth %
86,Gradiant Corpor...,Boston,USA,$400M,Environmen...,342,$91.2M,4%
87,MapBox,San Franci...,USA,$507M,Business I...,736,$147.3M,12%
88,Silverfort,Tel Aviv,Israel,$222M,IT Securit...,318,$82.4M,41%
89,Nomba,Lagos,Nigeria,$42.7M,Fintech,372,$61.4M,10%
90,TechMet Ltd,Dublin,Ireland,$371M,Energy,41,$0,12%
91,Meter,San Franci...,USA,$145M,Networking,82,$24.6M,34%
92,Guesty,Hillsborou...,USA,$409M,Real Estat...,621,$110.4M,11%
93,Mechanical Orch...,San Franci...,USA,$24M,AI,82,$11.5M,144%
94,BigID,New York C...,USA,$308M,IT Securit...,614,$159.1M,9%
95,Kindbody,New York C...,USA,$315M,Digital He...,675,$120M,8%
96,Flashbots,Grand Caym...,Cayman Islands,,Computer a...,29,$3.5M,21%
97,Credgenics,Noida,IND,$78.7M,Finance,507,$67.6M,22%
98,Envisics,Milton Key...,UK,$150M,VR,31,$33M,7%
99,Kin Insurance,Chicago,USA,$458M,Fintech,602,$99.4M,17%
100,Pigment,Paris,France,$397M,Tech Servi...,420,$77.3M,74%
101,XREAL,Beijing,China,$300M,VR,143,$19.5M,11%
102,HashKey Group,Connaught ...,Hong Kong,$100M,Fintech,174,$24.3M,5%
103,Luma AI,San Franci...,USA,$72.8M,Software,44,$5.4M,163%
104,NEXTracker,East Bay,USA,$42.6M,Environmen...,963,$289.2M,37%
105,Scout Motors,Detroit,USA,,Automotive,387,$159.6M,674%
106,Form Energy,Boston,USA,$860M,Environmen...,627,$167.2M,37%
107,Cato Networks,Tel Aviv,Israel,$773M,IT Securit...,938,$273.6M,30%
108,Clear Street,New York C...,USA,$593M,Fintech,394,$65M,17%
109,finmid,Berlin,Germany,$37.2M,Fintech,105,$13.7M,61%
110,HawkEye 360,Washington...,USA,$387M,Analytics,194,$29.2M,19%
111,Recurrent Energ...,East Bay,USA,$585M,Environmen...,581,$155M,110%
112,Dtex Systems,Silicon Va...,USA,$138M,Tech Servi...,138,$20M,38%
113,Greenbrook TMS ...,Washington...,USA,,Healthcare,377,$127.2M,6%
114,unstructured.io,San Franci...,USA,$65M,Software,55,$7.7M,174%
115,WORK Personnel ...,San Franci...,USA,,HR,92,$18.5M,7%
116,Mitiga,Tel Aviv,Israel,$14.4M,IT Securit...,87,$17.7M,17%
117,Rebellions,Seoul,South Korea,$197M,AI,121,$8.5M,94%
118,Nil Foundation,Limassol,Cyprus,$22M,Blockchain,41,$3.6M,37%
119,ZeroAvia,Hollister,USA,$322M,Aviation,302,$94.4M,12%
120,Wasabi Technolo...,Boston,USA,$384M,Cloud,417,$38.5M,28%
121,Hume AI,New York C...,USA,$65.9M,Research S...,36,$8.5M,44%
122,Cart.com,Austin,USA,$383M,eCommerceT...,525,$93.3M,1%
123,tinyeinstein,Toronto,CAN,,AI,19,$1.6M,20%
124,tinyEmail,Toronto,CAN,,AI,19,$1.6M,20%
125,OP3N,Los Angele...,USA,$28M,AI,36,$3.8M,10%
126,Our Next Energy,Detroit,USA,$390M,Electronic...,314,$97.7M,1%
127,Pennylane,Paris,Fra,$155M,Accounting,471,$97.5M,16%
128,ConsenSys,New York C...,USA,$725M,Fintech,60,$6.8M,2%
129,Veza,San Franci...,USA,$125M,IT Securit...,202,$44.3M,27%
130,Uzum,Tashkent,Uzbekistan,$114M,AI,652,$115.9M,77%
131,Group14 Technol...,Seattle,USA,$683M,Chemical M...,204,$39.2M,87%
132,The Browser Com...,New York C...,USA,,Tech Servi...,76,$11M,29%
133,Distributed Sol...,Schenectad...,USA,$1B,Environmen...,309,$82.4M,32%
134,The Feinstein I...,Manhasset,USA,,Research,388,$49.5M,3%
135,Eastern Union,Howell,USA,$66.8M,Real Estat...,222,$35.8M,3%
136,Anrok,San Franci...,USA,$67.6M,Software,55,$7.7M,58%
137,Crusoe Energy S...,Denver,USA,$747.5M,Energy/Oil,360,$112M,27%
138,Puttshack,London,UK,$256M,Hospitalit...,611,$194M,33%
139,BaseTen,San Franci...,USA,$60M,Tech Servi...,65,$8.1M,97%
140,Razor Group,Berlin,Germany,$1B,eCommerce,575,$453M,1%
141,FalconX,Silicon Va...,USA,$430M,Fintech,331,$54.6M,22%
142,Nucor Steel Ber...,Charlotte,USA,,Mining,212,$31.4B,2%
143,Inszone Insuran...,Rancho Cor...,USA,,Insurance,332,$91.3M,21%
144,Private Client ...,Berkeley H...,USA,,Insurance,427,$117.4M,661%
145,Redaptive,San Franci...,USA,$626M,Energy,350,$0,20%
146,Xanadu,Toronto,CAN,$250M,Hardware,219,$94.2M,25%
147,Hotel Deco Omah...,Omaha,USA,,Hospitalit...,341,$108.3M,624%
148,PCF Insurance S...,Salt Lake ...,USA,,Insurance,460,$126.5M,8%
149,Develop for Goo...,San Franci...,USA,,Tech Servi...,140,$22.3M,611%
150,Carbyne,Tel Aviv,USA,$123M,AI,190,$28.6M,12%
151,The Foundry,London,UK,$80M,3D,409,$72.8M,14%
152,Celestial AI,Silicon Va...,USA,$370M,AI,260,$38.5M,26%
